from_act,from_num,from_heading,to_act,to_num,to_heading,relation,score
crpc,38,"Aid to person, other than police officer, executing, warrant",bnss,32,"Aid to person, other than police officer, executing warrant",near-identical,1
crpc,39,Public to give information of certain offences,bnss,33,Public to give information of certain offences,near-identical,0.95
crpc,40,Duty of officers employed in connection with the affairs of a villageto make certain report,bnss,34,Duty of officers employed in connection with affairs of a village to make certain report,near-identical,0.9235
crpc,41,When police may arrest without warrant,bnss,35,When police may arrest without warrant,near-identical,0.95
crpc,42,Arrest on refusal to give name and residence,bnss,39,Arrest on refusal to give name and residence,near-identical,0.95
crpc,43,Arrest by private person and procedure on such arrest,bnss,40,Arrest by private person and procedure on such arrest,near-identical,0.982
crpc,44,Arrest by Magistrate,bnss,41,Arrest by Magistrate,near-identical,1
crpc,45,Protection of members of the Armed Forces from arrest,bnss,42,Protection of members of Armed Forces from arrest,near-identical,0.9999
crpc,46,Arrest how made,bnss,43,Arrest how made,near-identical,0.9
crpc,47,Search of place entered by person sought to be arrested,bnss,44,Search of place entered by person sought to be arrested,near-identical,0.9969
crpc,48,Pursuit of offenders into other jurisdictions,bnss,45,Pursuit of offenders into other jurisdictions,near-identical,1
crpc,49,No unnecessary restraint,bnss,46,No unnecessary restraint,near-identical,1
crpc,50,Person arrested to be informed of grounds of arrest and of right tobail,bnss,47,Person arrested to be informed of grounds of arrest and of right to bail,near-identical,0.8679
crpc,51,Search of arrested person,bnss,49,Search of arrested person,near-identical,0.9995
crpc,52,Power to size offensive weapons,bnss,50,Power to seize offensive weapons,near-identical,0.8915
crpc,53,Examination of accused by medical practitioner at the request ofpolice officer,bnss,51,Examination of accused by medical practitioner at request of police officer,close,0.7712
crpc,54,Examination of arrested person by medical practitioner at the requestof the arrested person,bnss,52,Examination of person accused of rape by medical practitioner,weak,0.4698
crpc,55,Procedure when police officer deputes subordinate to arrest with outwarrant,bnss,55,Procedure when police officer deputes subordinate to arrest without warrant,near-identical,0.8718
crpc,56,Person arrested to be taken before Magistrate of officer in charge ofpolice station,bnss,57,Person arrested to be taken before Magistrate or officer in charge of police station,near-identical,0.9397
crpc,57,Person arrested not to be detained more than twenty-four hours,bnss,58,Person arrested not to be detained more than twenty-four hours,near-identical,0.95
crpc,58,Police to report apprehensions,bnss,59,Police to report apprehensions,near-identical,1
crpc,59,Discharge of person apprehended,bnss,60,Discharge of person apprehended,near-identical,0.95
crpc,60,"Power, on escape, to pursue and retake",bnss,61,"Power, on escape, to pursue and retake",near-identical,0.95
crpc,61,Form of summons,bnss,63,Form of summons,near-identical,0.9
crpc,62,Summons how served,bnss,64,Summons how served,near-identical,0.9
crpc,63,Service of summons on corporate bodies and societies,bnss,65,"Service of summons on corporate bodies, firms, and societies",near-identical,0.8554
crpc,64,Service when persons summoned cannot be found,bnss,66,Service when persons summoned cannot be found,near-identical,0.9856
crpc,65,Procedure when service cannot be effected as before provided,bnss,67,Procedure when service cannot be effected as before provided,near-identical,1
crpc,66,Service on Government servant,bnss,68,Service on Government servant,near-identical,0.9867
crpc,67,Service of summons outside local limits,bnss,69,Service of summons outside local limits,near-identical,1
crpc,68,Proof of service in such cases and when serving officer not present,bnss,70,Proof of service in such cases and when serving officer not present,near-identical,0.95
crpc,69,Service of summons on witness by post,bnss,71,Service of summons on witness,close,0.8219
crpc,70,Form of warrant of arrest and duration,bnss,72,Form of warrant of arrest and duration,near-identical,1
crpc,71,Power to direct security to be taken,bnss,73,Power to direct security to be taken,near-identical,0.9946
crpc,72,Warrants to whom directed,bnss,74,Warrants to whom directed,near-identical,1
crpc,73,Warrant may be directed any person,bnss,75,Warrant may be directed to any person,near-identical,1
crpc,74,Warrant directed to police officer,bnss,76,Warrant directed to police officer,near-identical,1
crpc,75,Notification of substance of warrant,bnss,77,Notification of substance of warrant,near-identical,1
crpc,76,Person arrested to be brought before Court without delay,bnss,78,Person arrested to be brought before Court without delay,near-identical,1
crpc,77,Where warrant may be executed,bnss,79,Where warrant may be executed,near-identical,1
crpc,78,Warrant forwarded for execution outside jurisdiction,bnss,80,Warrant forwarded for execution outside jurisdiction,near-identical,0.9832
crpc,79,Warrant directed to police officer for execution outside jurisdiction,bnss,81,Warrant directed to police officer for execution outside jurisdiction,near-identical,1
crpc,80,Procedure on arrest of person against whom warrant issued,bnss,82,Procedure on arrest of person against whom warrant issued,near-identical,0.95
crpc,81,Procedure by Magistrate before whom such person arrested is brought,bnss,83,Procedure by Magistrate before whom such person arrested is brought,near-identical,0.9755
crpc,82,Proclamation for person absconding,bnss,84,Proclamation for person absconding,near-identical,0.95
crpc,83,Attachment of Property of person absconding,bnss,85,Attachment of property of person absconding,near-identical,1
crpc,84,Claims and objections to attachment,bnss,87,Claims and objections to attachment,near-identical,1
crpc,85,"Release, sale and restoration of attached property",bnss,88,"Release, sale and restoration of attached property",near-identical,1
crpc,86,Appeal from order rejecting application for restoration of attachedproperty,bnss,89,Appeal from order rejecting application for restoration of attached property,close,0.7628
crpc,87,"Issue of warrant in lieu of, or in addition to, summons",bnss,90,"Issue of warrant in lieu of, or in addition to, summons",near-identical,1
crpc,88,Power to take bond for appearance,bnss,91,Power to take bond or bail bond for appearance,near-identical,0.9184
crpc,89,Arrest on breach of bond for appearance,bnss,92,Arrest on breach of bond or bail bond for appearance,close,0.7717
crpc,90,,bnss,,,none,0.4249
crpc,91,Summons to produce document or other thing,bnss,94,Summons to produce document or other thing,near-identical,0.95
crpc,92,Procedure as to letters and telegrams,bnss,95,Procedure as to letters,near-identical,0.8588
crpc,93,When search warrant may be issued,bnss,96,When search-warrant may be issued,near-identical,0.9898
crpc,94,"Search of place suspected to contain stolen property, forgeddocuments, etc",bnss,97,"Search of place suspected to contain stolen property, forged documents, etc",near-identical,0.9141
crpc,95,Power to declare certain publications forfeited and to issue searchwarrants for the same,bnss,98,Power to declare certain publications forfeited and to issue search-warrants for same,near-identical,0.9089
crpc,96,Application to High Court to set aside declaration of forfeiture,bnss,99,Application to High Court to set aside declaration of forfeiture,near-identical,1
crpc,97,Search for persons wrongfully confined,bnss,100,Search for persons wrongfully confined,near-identical,1
crpc,98,Power to compel restoration of abducted females,bnss,101,Power to compel restoration of abducted females,near-identical,0.95
crpc,99,"Direction, etc., of search warrants",bnss,102,"Direction, etc., of search-warrants",near-identical,0.95
crpc,100,Persons in charge of closed place to allow search,bnss,103,Persons in charge of closed place to allow search,near-identical,1
crpc,101,Disposal of things found in search beyond jurisdiction,bnss,104,Disposal of things found in search beyond jurisdiction,near-identical,0.9547
crpc,102,Power of police officer to seize certain property,bnss,106,Power of police officer to seize certain property,near-identical,0.95
crpc,103,Magistrate may direct search in his presence,bnss,108,Magistrate may direct search in his presence,near-identical,1
crpc,104,"Power to impound document, etc., produced",bnss,109,"Power to impound document, etc., produced",near-identical,1
crpc,105,Reciprocal arrangements regarding processes,bnss,110,Reciprocal arrangements regarding processes,near-identical,0.956
crpc,105A,Definition,bnss,111,Definitions,close,0.6933
crpc,105B,Assistance in securing transfer of persons,bnss,114,Assistance in securing transfer of persons,near-identical,0.9511
crpc,105C,Assistance in relation to orders of attachment or forefeiture ofproperty,bnss,115,Assistance in relation to orders of attachment or forfeiture of property,near-identical,0.8743
crpc,105D,Identifying unlawfully acquired property,bnss,116,Identifying unlawfully acquired property,near-identical,1
crpc,105E,Seizure or attachment of property,bnss,117,Seizure or attachment of property,near-identical,1
crpc,105F,Management of properties seized or forfeited under this Chapter,bnss,118,Management of properties seized or forfeited under this Chapter,near-identical,0.9875
crpc,105G,Notice of forfeiture of property,bnss,119,Notice of forfeiture of property,near-identical,0.9565
crpc,105H,Forfeiture of property in certain cases,bnss,120,Forfeiture of property in certain cases,near-identical,0.9533
crpc,105I,Fine in lieu of forfeiture,bnss,121,Fine in lieu of forfeiture,near-identical,1
crpc,105J,Certain transfers to be null and void,bnss,122,Certain transfers to be null and void,near-identical,1
crpc,105K,Procedure in respect of letter of request,bnss,123,Procedure in respect of letter of request,near-identical,0.9616
crpc,105L,Application of this Chapter,bnss,124,Application of this Chapter,near-identical,0.95
crpc,106,Security for keeping the peace on conviction,bnss,125,Security for keeping peace on conviction,close,0.7916
crpc,107,Security for keeping the peace in other cases,bnss,126,Security for keeping peace in other cases,near-identical,0.9902
crpc,108,Security for good behaviour from persons disseminating seditiousmatters,bnss,127,Security for good behaviour from persons disseminating certain matters,near-identical,0.8508
crpc,109,Security for good behaviour from suspected persons,bnss,128,Security for good behaviour from suspected persons,near-identical,0.95
crpc,110,Security for good behaviour from habitual offenders,bnss,129,Security for good behaviour from habitual offenders,near-identical,0.95
crpc,111,Order to be made,bnss,130,Order to be made,near-identical,0.95
crpc,112,Procedure in respect of person present in Court,bnss,131,Procedure in respect of person present in Court,near-identical,0.95
crpc,113,Summons or warrant in case of person not so present,bnss,132,Summons or warrant in case of person not so present,near-identical,1
crpc,114,Copy of order to accompany summons or warrant,bnss,133,Copy of order to accompany summons or warrant,near-identical,1
crpc,115,Power to dispense with personal attendance,bnss,134,Power to dispense with personal attendance,near-identical,0.966
crpc,116,Inquiry as to truth of information,bnss,135,Inquiry as to truth of information,near-identical,0.9894
crpc,117,Order to give security,bnss,136,Order to give security,near-identical,0.95
crpc,118,Discharge of person informed against,bnss,137,Discharge of person informed against,near-identical,1
crpc,119,Commencement of period for which security is required,bnss,138,Commencement of period for which security is required,near-identical,1
crpc,120,Contents of bond,bnss,139,Contents of bond,near-identical,0.965
crpc,121,Power to reject sureties,bnss,140,Power to reject sureties,near-identical,0.9941
crpc,122,Imprisonment in default of security,bnss,141,Imprisonment in default of security,near-identical,0.9814
crpc,123,Power to release persons imprisoned for failing to give security,bnss,142,Power to release persons imprisoned for failing to give security,near-identical,0.9863
crpc,124,Security for unexpired period of bond,bnss,143,Security for unexpired period of bond,near-identical,0.95
crpc,125,"Order for maintenance of wives, children and parents",bnss,144,"Order for maintenance of wives, children and parents",near-identical,0.95
crpc,126,Procedure,bnss,145,Procedure,near-identical,0.964
crpc,127,Alteration in allowance,bnss,146,Alteration in allowance,near-identical,0.9444
crpc,128,Enforcement of order of maintenance,bnss,147,Enforcement of order of maintenance,near-identical,0.95
crpc,129,Dispersal of assembly by use of civil force,bnss,148,Dispersal of assembly by use of civil force,near-identical,0.993
crpc,130,Use of armed forces to disperse assembly,bnss,149,Use of armed forces to disperse assembly,near-identical,0.9759
crpc,131,Power of certain armed force officers to disperse assembly,bnss,150,Power of certain armed force officers to disperse assembly,near-identical,1
crpc,132,Protection against prosecution for acts done under preceding sections,bnss,151,"Protection against prosecution for acts done under sections 148, 149 and 150",near-identical,0.951
crpc,133,Conditional order for removal of nuisance,bnss,152,Conditional order for removal of nuisance,near-identical,0.9907
crpc,134,Service or notification of order,bnss,153,Service or notification of order,near-identical,0.95
crpc,135,Person to whom addressed to obey or show cause,bnss,154,Person to whom order is addressed to obey or show cause,near-identical,0.8926
crpc,136,Consequences of his failing to do so,bnss,155,Penalty for failure to comply with section 154,close,0.6617
crpc,137,Procedure where existence of public right is denied,bnss,156,Procedure where existence of public right is denied,near-identical,1
crpc,138,Procedure where he appears to show cause,bnss,157,Procedure where person against whom order is made under section 152 appears to show-cause,close,0.8444
crpc,139,Power of Magistrate to direct local investigation and examination ofan expert,bnss,158,Power of Magistrate to direct local investigation and examination of an expert,near-identical,0.9102
crpc,140,"Power of Magistrate to furnish written instructions, etc",bnss,159,"Power of Magistrate to furnish written instructions, etc",near-identical,1
crpc,141,Procedure on order being made absolute and consequences ofdisobedience,bnss,160,Procedure on order being made absolute and consequences of disobedience,near-identical,0.9085
crpc,142,Injunction pending inquiry,bnss,161,Injunction pending inquiry,near-identical,1
crpc,143,"Magistrate may prohibit repetition or connuance of public nuisance,",bnss,162,Magistrate may prohibit repetition or Continuance of public nuisance,close,0.7757
crpc,144,Power to issue order in urgent cases of nuisance of apprehendeddanger,bnss,163,Power to issue order in urgent cases of nuisance or apprehended danger,near-identical,0.8884
crpc,145,Procedure where dispute concerning land or water is likely to causebreach of peace,bnss,164,Procedure where dispute concerning land or water is likely to cause breach of peace,near-identical,0.9428
crpc,146,Power to attach subject of dispute and to appoint receiver,bnss,165,Power to attach subject of dispute and to appoint receiver,near-identical,1
crpc,147,Dispute concerning right of use of land or water,bnss,166,Dispute concerning right of use of land or water,near-identical,0.9935
crpc,148,Local inquiry,bnss,167,Local inquiry,near-identical,0.9192
crpc,149,Police to prevent cognizable offences,bnss,168,Police to prevent cognizable offences,near-identical,1
crpc,150,Information of design to commit cognizable offences,bnss,169,Information of design to commit cognizable offences,near-identical,1
crpc,151,Arrest to prevent the commission of cognizable offences,bnss,170,Arrest to prevent commission of cognizable offences,near-identical,1
crpc,152,Prevention of injury to public property,bnss,171,Prevention of injury to public property,near-identical,0.95
crpc,153,Inspection of weights and measures,bnss,,,none,0.2405
crpc,154,Information in cognizable cases,bnss,173,Information in cognizable cases,near-identical,0.95
crpc,155,Information as to non-cognizable cases and investigation of suchcases,bnss,174,Information as to non-cognizable cases and investigation of such cases,near-identical,0.9073
crpc,156,Police officer's power to investigate cognizable case,bnss,175,Police officer’s power to investigate cognizable case,near-identical,0.95
crpc,157,Procedure for investigation preliminary inquiry,bnss,176,Procedure for investigation,close,0.7834
crpc,158,Report how submitted,bnss,177,Report how submitted,near-identical,1
crpc,159,Power to hold investigation or,bnss,178,Power to hold investigation or preliminary inquiry,near-identical,0.9307
crpc,160,Police officer's power to require attendance of witnesses,bnss,179,Police officer's power to require attendance of witnesses,near-identical,0.95
crpc,161,Examination of witnesses by police,bnss,180,Examination of witnesses by police,near-identical,0.95
crpc,162,Statements to police not to be signed: Use of statements in evidence,bnss,181,Statements to police and use thereof,near-identical,0.9007
crpc,163,No inducement to be offered,bnss,182,No inducement to be offered,near-identical,1
crpc,164,Recording of confessions and statements,bnss,183,Recording of confessions and statements,near-identical,0.95
crpc,165,Search by police officer,bnss,185,Search by police officer,near-identical,0.95
crpc,166,When officer in charge of police station may require an other to issuesearch warrant,bnss,186,When officer in charge of police station may require another to issue search-warrant,near-identical,0.8852
crpc,166A,Letter of request competent authority for investigation in a countryor place outside India,bnss,112,Letter of request to competent authority for investigation in a country or place outside India,near-identical,0.9433
crpc,166B,Letter of request from a country or place outside India to a Court oran authority for investigation in India,bnss,113,Letter of request from a country or place outside India to a Court or an authority for investigation in India,near-identical,0.9471
crpc,167,Procedure when investigation cannot be completed in twenty four hours,bnss,187,Procedure when investigation cannot be completed in twenty-four hours,near-identical,0.95
crpc,168,Report of investigation by subordinate police officer,bnss,188,Report of investigation by subordinate police officer,near-identical,1
crpc,169,Release of accused when evidence deficient,bnss,189,Release of accused when evidence deficient,near-identical,0.95
crpc,170,"Cases to be sent to Magistrate, when evidence is sufficient",bnss,190,"Cases to be sent to Magistrate, when evidence is sufficient",near-identical,0.9567
crpc,171,Complainant and witnesses not to be required to accompany policeofficer and not to be subjected to restraint,bnss,191,Complainant and witnesses not to be required to accompany police officer and not to be subject to restraint,near-identical,0.8931
crpc,172,Diary of proceedings in investigation,bnss,192,Diary of proceedings in investigation,near-identical,0.95
crpc,173,Report of police officer on completion of investigation,bnss,193,Report of police officer on completion of investigation,near-identical,0.95
crpc,174,"Police to enquire and report on suicide, etc",bnss,194,"Police to enquire and report on suicide, etc",near-identical,0.9756
crpc,175,Power to summon persons,bnss,195,Power to summon persons,near-identical,0.95
crpc,176,Inquiry by Magistrate into cause of death,bnss,196,Inquiry by Magistrate into cause of death,near-identical,0.95
crpc,177,Ordinary place of inquiry and trial,bnss,197,Ordinary place of inquiry and trial,near-identical,1
crpc,178,Place of inquiry or trial,bnss,198,Place of inquiry or trial,near-identical,1
crpc,179,Offence triable where act is done or consequence ensues,bnss,199,Offence triable where act is done or consequence ensues,near-identical,1
crpc,180,Place of trial where act is an offence by reason of relation to otheroffence,bnss,200,Place of trial where act is an offence by reason of relation to other offence,near-identical,0.9303
crpc,181,Place of trial in case of certain offences,bnss,201,Place of trial in case of certain offences,near-identical,0.963
crpc,182,"Offences committed by letters, etc",bnss,202,"Offences committed by means of electronic communications, letters, etc",near-identical,0.8679
crpc,183,Offence committed on journey or voyage,bnss,203,Offence committed on journey or voyage,near-identical,1
crpc,184,Place of trial for offences triable together,bnss,204,Place of trial for offences triable together,near-identical,1
crpc,185,Power to order cases to be tried in different sessions divisions,bnss,205,Power to order cases to be tried in different sessions divisions,near-identical,0.9934
crpc,186,"High Court to decide, in case of doubt, district where inquiry ortrial shall take place",bnss,206,"High Court to decide, in case of doubt, district where inquiry or trial shall take place",near-identical,0.9064
crpc,187,Power to issue summons or warrant for offence committed beyond localjurisdiction,bnss,207,Power to issue summons or warrant for offence committed beyond local jurisdiction,near-identical,0.9053
crpc,188,Offence committed outside India,bnss,208,Offence committed outside India,near-identical,0.9533
crpc,189,Receipt of evidence relating to offences committed outside India,bnss,209,Receipt of evidence relating to offences committed outside India,near-identical,0.95
crpc,190,Cognizance of offences by Magistrates,bnss,210,Cognizance of offences by Magistrate,close,0.8213
crpc,191,Transfer on application of the accused,bnss,211,Transfer on application of accused,near-identical,1
crpc,192,Making over of cases to Magistrates,bnss,212,Making over of cases to Magistrates,near-identical,1
crpc,193,Cognizance of offences by Courts of Session,bnss,213,Cognizance of offences by Court of Session,near-identical,0.9506
crpc,194,Additional and Assistant Sessions Judges to try cases made over tothem,bnss,214,Additional Sessions Judges to try cases made over to them,near-identical,0.8614
crpc,195,"Prosecution for contempt of lawful authority of public servants, foroffences against public justice and for offences relating to documentsgiven in evidence",bnss,215,". Prosecution for contempt of lawful authority of public servants, for offences against public justice and for offences relating to documents given in evidence",close,0.6902
crpc,196,Prosecution for offences against the State and for criminalconspiracy to commit such offence,bnss,217,Prosecution for offences against State and for criminal conspiracy to commit such offence,near-identical,0.8798
crpc,197,Prosecution of Judges and public servants,bnss,218,Prosecution of Judges and public servants,near-identical,0.95
crpc,198,Prosecution for offences against marriage,bnss,219,Prosecution for offences against marriage,near-identical,0.95
crpc,199,Prosecution for defamation,bnss,222,Prosecution for defamation,near-identical,0.9163
crpc,200,Examination of complainant,bnss,223,Examination of complainant,near-identical,0.9
crpc,201,Procedure by Magistrate not competent to take cognizance of the case,bnss,224,Procedure by Magistrate not competent to take cognizance of case,near-identical,1
crpc,202,Postponement of issue of process,bnss,225,Postponement of issue of process,near-identical,0.9676
crpc,203,Dismissal of complaint,bnss,226,Dismissal of complaint,close,0.8376
crpc,204,Issue of process,bnss,227,Issue of process,near-identical,0.9383
crpc,205,Magistrate may dispense with personal attendance of accused,bnss,228,Magistrate may dispense with personal attendance of accused,near-identical,0.9755
crpc,206,Special summons in cases of petty offence,bnss,229,Special summons in cases of petty offence,near-identical,0.95
crpc,207,Supply to the accused of copy of police report and other documents,bnss,230,Supply to accused of copy of police report and other documents,near-identical,0.8923
crpc,208,Supply of copies of statements and documents to accused in other casestriable by Court of Session,bnss,231,Supply of copies of statements and documents to accused in other cases triable by Court of Session,near-identical,0.8681
crpc,209,Commitment of case to Court of Session when offence is triableexclusively by it,bnss,232,Commitment of case to Court of Session when offence is triable exclusively by it,close,0.8293
crpc,210,Procedure to be followed when there is a complaint case and policeinvestigation in respect of the same offence,bnss,233,Procedure to be followed when there is a complaint case and police investigation in respect of same offence,near-identical,0.8966
crpc,211,Contents of charge,bnss,234,Contents of charge,near-identical,0.9586
crpc,212,"Particulars as to time, place and person",bnss,235,"Particulars as to time, place and person",near-identical,1
crpc,213,When manner of committing offence must be stated,bnss,236,When manner of committing offence must be stated,near-identical,1
crpc,214,Words in charge taken in sense of law under which offence ispunishable,bnss,237,Words in charge taken in sense of law under which offence is punishable,near-identical,0.9163
crpc,215,Effect of errors,bnss,238,Effect of errors,near-identical,0.992
crpc,216,Court may alter charge,bnss,239,Court may alter charge,near-identical,1
crpc,217,Recall of witnesses when charge altered,bnss,240,Recall of witnesses when charge altered,near-identical,0.9671
crpc,218,Separate charges for distinct offences,bnss,241,Separate charges for distinct offences,near-identical,1
crpc,219,Three offences of same kind within year may be charged together,bnss,242,Offences of same kind within year may be charged together,near-identical,0.9104
crpc,220,Trial for more than one offence,bnss,243,Trial for more than one offence,near-identical,0.9775
crpc,221,Where it is doubtful what offence has been committed,bnss,244,Where it is doubtful what offence has been committed,near-identical,0.9912
crpc,222,When offence proved included in offence charged,bnss,245,When offence proved included in offence charged,near-identical,0.9732
crpc,223,What persons may be charged jointly,bnss,246,What persons may be charged jointly,near-identical,0.9921
crpc,224,Withdrawal of remaining charges on conviction on one of severalcharges,bnss,247,Withdrawal of remaining charges on conviction on one of several charges,near-identical,0.8965
crpc,225,Trial to be conducted by Public Prosecutor,bnss,248,Trial to be conducted by Public Prosecutor,near-identical,1
crpc,226,Opening case for prosecution,bnss,249,Opening case for prosecution,near-identical,0.9743
crpc,227,Discharge,bnss,250,Discharge,near-identical,0.9
crpc,228,Framing of charge,bnss,251,Framing of charge,near-identical,0.9
crpc,229,Conviction on plea of guilty,bnss,252,Conviction on plea of guilty,near-identical,1
crpc,230,Date for prosecution evidence,bnss,253,Date for prosecution evidence,near-identical,1
crpc,231,Evidence for prosecution,bnss,254,Evidence for prosecution,near-identical,0.9
crpc,232,Acquittal,bnss,255,Acquittal,near-identical,1
crpc,233,Entering upon defence,bnss,256,Entering upon defence,near-identical,1
crpc,234,Arguments,bnss,257,Arguments,near-identical,0.9277
crpc,235,Judgment of acquittal or conviction,bnss,258,Judgment of acquittal or conviction,near-identical,0.95
crpc,236,Previous conviction,bnss,259,Previous conviction,near-identical,1
crpc,237,Procedure in cases instituted under section 199(2),bnss,260,Procedure in cases instituted under sub-section (2) of section 222,near-identical,0.9344
crpc,238,Compliance with section 207,bnss,261,Compliance with section 230,near-identical,1
crpc,239,When accused shall be discharged,bnss,262,When accused shall be discharged,near-identical,0.95
crpc,240,Framing of charge,bnss,263,Framing of charge,near-identical,0.9527
crpc,241,Conviction on plea of guilty,bnss,264,Conviction on plea of guilty,near-identical,1
crpc,242,Evidence for prosecution,bnss,265,Evidence for prosecution,near-identical,0.9
crpc,243,Evidence for defence,bnss,266,Evidence for defence,near-identical,0.9453
crpc,244,Evidence for prosecution,bnss,267,Evidence for prosecution,near-identical,1
crpc,245,When accused shall be discharged,bnss,268,When accused shall be discharged,near-identical,1
crpc,246,Procedure where accused is not discharged,bnss,269,Procedure where accused is not discharged,near-identical,0.95
crpc,247,Evidence for defence,bnss,270,Evidence for defence,near-identical,0.9039
crpc,248,Acquittal or conviction,bnss,271,Acquittal or conviction,near-identical,0.9915
crpc,249,Absence of complainant,bnss,272,Absence of complainant,near-identical,0.9374
crpc,250,Compensation for accusation without reasonable cause,bnss,273,Compensation for accusation without reasonable cause,near-identical,0.9838
crpc,251,Substance of accusation to be stated,bnss,274,Substance of accusation to be stated,near-identical,0.95
crpc,252,Conviction on plea of guilty,bnss,275,Conviction on plea of guilty,near-identical,1
crpc,253,Conviction on plea of guilty in absence of accused in petty cases,bnss,276,Conviction on plea of guilty in absence of accused in petty cases,near-identical,0.9709
crpc,254,Procedure when not convicted,bnss,277,Procedure when not convicted,near-identical,1
crpc,255,Acquittal or conviction,bnss,278,Acquittal or conviction,near-identical,1
crpc,256,Non-appearance or death of complainant,bnss,279,Non-appearance or death of complainant,near-identical,0.9613
crpc,257,Withdrawal of complaint,bnss,280,Withdrawal of complaint,near-identical,1
crpc,258,Power to stop proceedings in certain cases,bnss,281,Power to stop proceedings in certain cases,near-identical,1
crpc,259,Power of Court to convert summons-cases into warrant-cases,bnss,282,Power of Court to convert summons-cases into warrant-cases,near-identical,0.95
crpc,260,Power to try summarily,bnss,283,Power to try summarily,near-identical,0.95
crpc,261,Summary trial by magistrate of the second class,bnss,284,Summary trial by Magistrate of second class,near-identical,1
crpc,262,Procedure for summary trials,bnss,285,Procedure for summary trials,near-identical,0.95
crpc,263,Record in summary trials,bnss,286,Record in summary trials,near-identical,1
crpc,264,Judgement in cases tried summarily,bnss,287,Judgment in cases tried summarily,near-identical,0.9292
crpc,265,Language of record and judgement,bnss,288,Language of record and judgment,close,0.7112
crpc,266,Definitions,bnss,301,Definitions,near-identical,1
crpc,267,Power to require attendance of prisoners,bnss,302,Power to require attendance of prisoners,near-identical,0.95
